State,State_Code,Marathon Name,City,Finishers,Course Type,Elevation Gain (ft),Elevation Loss (ft)
Utah,UT,Salt Lake City Marathon,Salt Lake City,1638,Downhill,911,1495
Utah,UT,Ogden Marathon,Ogden,1332,Downhill,398,1514
Vermont,VT,Vermont City Marathon,Burlington,1521,Rolling Hills,855,856
Vermont,VT,Mad Marathon,Waitsfield,246,Hilly,2134,2133
Vermont,VT,Champlain Islands Marathon,South Hero,136,Rolling Hills,946,946
Virginia,VA,Marine Corps Marathon,Arlington,30127,Mostly Flat,699,666
Virginia,VA,Richmond Marathon,Richmond,4943,Rolling Hills,685,813
Virginia,VA,Shamrock Marathon,Virginia Beach,1951,Flat,270,272
Washington,WA,Seattle Marathon,Seattle,2470,Hilly,817,904
Washington,WA,Light at the End of the Tunnel Marathon,North Bend,804,Downhill,76,2116
Washington,WA,Jack and Jills Downhill Marathon (Saturday),North Bend,778,Downhill,76,2136
West Virginia,WV,Marshall University Marathon,Huntington,379,Mostly Flat,354,357
West Virginia,WV,Greenbrier River Trail Marathon,Cass,166,Downhill,25,363
West Virginia,WV,Freedoms Run Marathon,Shepherdstown,123,Hilly,-,-
Wisconsin,WI,Madison Marathon,Madison,1911,Rolling Hills,851,833
Wisconsin,WI,Lakefront Marathon,Milwaukee,1592,Rolling Hills,752,759
Wisconsin,WI,Milwaukee Marathon,Milwaukee,926,Rolling Hills,525,474
Wyoming,WY,Jackson Hole Marathon,Jackson Hole,248,Rolling Hills,566,492
Wyoming,WY,Casper Marathon,Casper,110,Mostly Flat,548,743
