State,State_Code,Marathon Name,City,Finishers,Course Type,Elevation Gain (ft),Elevation Loss (ft),Date
Texas,TX,San Antonio Marathon,San Antonio,3335,Rolling Hills,909,902,12/06/2026
Texas,TX,Cowtown Marathon,Fort Worth,1750,Rolling Hills,736,734,03/01/2026
Utah,UT,St. George Marathon,St. George,4382,Downhill,500,3057,10/03/2026
Utah,UT,Salt Lake City Marathon,Salt Lake City,1638,Downhill,911,1495,04/25/2026
Utah,UT,Ogden Marathon,Ogden,1332,Downhill,398,1514,05/16/2026
Utah,UT,Utah Valley Marathon,Provo,1319,Downhill,395,1830,06/06/2026
Utah,UT,REVEL Big Cottonwood Marathon,Murray,1179,Downhill,221,5465,09/12/2026
Vermont,VT,Vermont City Marathon,Burlington,1521,Rolling Hills,855,856,05/24/2026
Vermont,VT,Mad Marathon,Waitsfield,246,Hilly,2134,2133,07/12/2026
Vermont,VT,Champlain Islands Marathon,South Hero,136,Rolling Hills,946,946,10/18/2026
Virginia,VA,Marine Corps Marathon,Arlington,30127,Mostly Flat,699,666,10/25/2026
Virginia,VA,Richmond Marathon,Richmond,4943,Rolling Hills,685,813,11/14/2026
Virginia,VA,Shamrock Marathon,Virginia Beach,1951,Flat,270,272,03/22/2026
Virginia,VA,Newport News One City Marathon,Newport News,475,Flat,318,312,03/01/2026
Virginia,VA,Tidewater Strider Marathon,Chesapeake,142,Flat,134,124,04/26/2026
Washington,WA,Seattle Marathon,Seattle,2470,Hilly,817,904,11/29/2026
Washington,WA,Light at the End of the Tunnel Marathon,North Bend,804,Downhill,76,2116,06/07/2026
Washington,WA,Jack and Jills Downhill Marathon (Saturday),North Bend,778,Downhill,76,2136,07/25/2026
Washington,WA,Tunnel Vision Marathon,North Bend,768,Downhill,76,2116,08/09/2026
Washington,WA,Jack and Jills Downhill Marathon,North Bend,715,Downhill,76,2136,07/26/2026
West Virginia,WV,Marshall University Marathon,Huntington,379,Mostly Flat,354,357,11/01/2026
West Virginia,WV,Greenbrier River Trail Marathon,Cass,166,Downhill,25,363,10/04/2026
West Virginia,WV,Freedoms Run Marathon,Shepherdstown,123,Hilly,-,-,10/10/2026
Wisconsin,WI,Madison Marathon,Madison,1911,Rolling Hills,851,833,11/15/2026
Wisconsin,WI,Lakefront Marathon,Milwaukee,1592,Rolling Hills,752,759,10/04/2026
Wisconsin,WI,Milwaukee Marathon,Milwaukee,926,Rolling Hills,525,474,04/11/2026
Wisconsin,WI,Eau Claire Marathon,Eau Claire,633,Rolling Hills,590,588,05/03/2026
Wisconsin,WI,Fox Cities Marathon,Appleton,543,Rolling Hills,420,455,09/20/2026
Wyoming,WY,Jackson Hole Marathon,Jackson Hole,248,Rolling Hills,566,492,09/26/2026
Wyoming,WY,Casper Marathon,Casper,110,Mostly Flat,548,743,06/07/2026
